Problem Number,Vector Number,Target Weight,Item Fraction
193,13,2775730075,1.0
194,14,1311339232,1.0
195,14,3708554020,1.0
196,14,3540932337,1.0
197,14,1420468144,1.0
198,14,4260782098,1.0
199,14,4812406781,1.0
200,14,5743497722,1.0
201,14,2555444852,1.0
202,14,3104639724,1.0
203,14,3474446584,1.0
204,14,4562987352,1.0
205,14,5117368613,1.0
206,14,4802387304,1.0
207,14,2101057286,1.0
208,14,3025776982,1.0
209,14,2819109118,1.0
210,14,4872210598,1.0
211,15,5376041841,1.0
212,15,6450262343,1.0
213,15,4082529390,1.0
214,15,3017391325,1.0
215,15,4502362792,1.0
216,15,3003343323,1.0
217,15,1390298584,1.0
218,15,4029683347,1.0
219,15,529992249,0.5833333333333334
220,15,1660313733,1.0
221,15,5539158996,1.0
222,16,3013883053,1.0
223,16,5350028290,1.0
224,16,4095529052,1.0
225,16,3166181722,1.0
226,16,1031376326,0.9583333333333334
227,16,5102796491,1.0
228,16,3153253322,1.0
229,16,3542875544,1.0
230,16,2019287675,1.0
231,16,1580733816,1.0
232,16,2402694804,1.0
233,16,1601504567,1.0
234,16,3064566807,1.0
235,16,1715934944,1.0
236,16,4547936482,1.0
237,17,1480637140,1.0
238,17,3712857575,1.0
239,17,2638508955,1.0
240,17,3592084881,1.0
241,17,5453979453,1.0
242,17,6058680315,1.0
243,17,992305645,0.875
244,17,4370740724,1.0
245,17,5993139468,1.0
246,17,824399416,0.7083333333333334
247,17,4165779244,1.0
248,17,4008199922,1.0
249,17,6190490158,1.0
250,17,6876138624,1.0
251,17,3946143490,1.0
252,18,1110108279,1.0
253,18,1346890054,1.0
254,18,1073087522,1.0
255,18,3639698778,1.0
256,18,2344367700,1.0
257,18,3391400323,1.0
258,18,5579523913,1.0
259,18,1184551263,1.0
260,18,1176176920,1.0
261,18,4949686947,1.0
262,18,1065144919,1.0
263,18,2172005470,1.0
264,18,4443426690,1.0
265,18,5508306141,1.0
266,19,6571636671,1.0
267,19,6027457374,1.0
268,19,5249218930,1.0
269,19,2647841406,1.0
270,19,3056286078,1.0
271,19,1757770391,1.0
272,19,2891715248,1.0
273,19,4351775210,1.0
274,19,574192813,0.5833333333333334
275,19,1761574792,1.0
276,19,1652699335,1.0
277,19,2943866200,1.0
278,19,3846225013,1.0
279,19,4517053822,1.0
280,19,3121941800,1.0
281,19,3183567279,1.0
282,20,3177546358,1.0
283,20,5012204685,1.0
284,20,5173417732,1.0
285,20,5232868929,1.0
286,20,3701797967,1.0
287,20,671487364,0.6666666666666666
288,20,4873135847,1.0
289,20,2408960172,1.0
290,20,4498937822,1.0
291,20,630530037,0.6666666666666666
292,20,3940533026,1.0
293,20,4337753115,1.0
294,20,576515025,0.5833333333333334
295,20,1987405234,1.0
296,20,3948880940,1.0
297,20,2690901317,1.0
298,21,5222644501,1.0
299,21,2611967802,1.0
300,21,6537660318,1.0
301,21,3740660478,1.0
302,21,4103099737,1.0
303,21,1068108191,1.0
304,21,1976316500,1.0
305,21,3506879981,1.0
306,21,5087104184,1.0
307,21,2418142449,1.0
308,21,2555773130,1.0
309,22,650918728,0.8333333333333334
310,22,2204140391,1.0
311,22,3763911273,1.0
312,22,4590119818,1.0
313,22,3499197502,1.0
314,22,1830499265,1.0
315,22,3197566602,1.0
316,22,3339998737,1.0
317,22,4476464906,1.0
318,22,3501929883,1.0
319,23,4208030447,1.0
320,23,2603541551,1.0
321,23,2873264458,1.0
322,23,737671235,0.6666666666666666
323,23,2905086133,1.0
324,23,2641459716,1.0
325,23,3353659817,1.0
326,23,2529167644,1.0
327,23,6486311389,1.0
328,23,3664851627,1.0
329,23,5080637765,1.0
330,23,3311836326,1.0
331,23,1503202426,1.0
332,23,7227475235,1.0
333,23,6355571608,1.0
334,23,4642983962,1.0
335,23,2400386948,1.0
336,23,1663703148,1.0
337,23,3489996481,1.0
338,24,1392620499,1.0
339,24,3401163788,1.0
340,24,4236239289,1.0
341,24,377912367,0.5
342,24,3657241918,1.0
343,24,2670305202,1.0
344,24,6468114142,1.0
345,24,579012219,0.5833333333333334
346,24,4421250506,1.0
347,24,4722404221,1.0
348,24,4089235573,1.0
349,24,4329977050,1.0
350,24,5873538725,1.0
351,24,3030304546,1.0
352,24,2303238737,1.0
353,24,2460824694,1.0
354,24,380811812,0.5
355,24,1537063609,1.0
356,24,6711684366,1.0
357,25,3960116100,1.0
358,25,2543589621,1.0
359,25,3995034141,1.0
360,25,2139650171,1.0
361,25,516728919,0.5416666666666666
362,25,298464038,0.3333333333333333
363,25,2283710764,1.0
364,25,1871535162,1.0
365,25,2400527312,1.0
366,25,3950687910,1.0
367,26,652262835,0.75
368,26,2395121890,1.0
369,26,2106934066,1.0
370,26,2124835135,1.0
371,26,1696307226,1.0
372,26,2191994917,1.0
373,26,2417726151,1.0
374,26,3306629360,1.0
375,26,1721511615,1.0
376,26,1032081792,1.0
377,27,3652192039,1.0
378,27,4317881912,1.0
379,27,5311901322,1.0
380,27,6676379321,1.0
381,27,4114294877,1.0
382,27,3445533326,1.0
383,27,7119361064,1.0
384,27,3893184231,1.0
385,27,6732960863,1.0
386,27,6391315490,1.0
387,27,2094498951,1.0
388,27,5788396703,1.0
389,28,1620678722,1.0
390,28,1844575334,1.0
391,28,6289900500,1.0
392,28,4697683870,1.0
393,28,1900739724,1.0
394,28,5017257365,1.0
395,28,3172616349,1.0
396,28,1258195817,1.0
397,28,2152442723,1.0
398,28,2871754239,1.0
399,28,1783242127,1.0
400,28,4616642443,1.0
401,29,5063150551,1.0
402,29,3186291971,1.0
403,29,4055687702,1.0
404,29,7477638931,1.0
405,29,2366915058,1.0
406,29,4222135823,1.0
407,29,1380523963,1.0
408,29,7055660636,1.0
409,29,3496523327,1.0
410,29,1784430334,1.0
411,29,2181071730,1.0
412,30,5211499956,1.0
413,30,2856789469,1.0
414,30,3267906110,1.0
415,30,3197357260,1.0
416,30,8237148148,1.0
417,30,3634688506,1.0
418,30,2552754822,1.0
419,30,4042953378,1.0
420,30,532806321,0.375
421,30,4182701695,1.0
422,30,5776201820,1.0
423,30,3713518242,1.0
424,30,4505403761,1.0
425,30,5172121836,1.0
426,30,6730800945,1.0
427,30,1267287904,1.0
428,30,5015258331,1.0
429,31,1235310381,1.0
430,31,5580613068,1.0
431,31,4873123200,1.0
432,31,3324096050,1.0
433,31,1138072017,1.0
434,31,5962488187,1.0
435,31,5036106897,1.0
436,31,3257057072,1.0
437,31,5827209798,1.0
438,31,3395510153,1.0
439,31,4506073143,1.0
440,32,2563973853,1.0
441,32,2807304098,1.0
442,32,5210813173,1.0
443,32,6520947026,1.0
444,32,4226608597,1.0
445,32,2175580959,1.0
446,32,1716365969,1.0
447,32,2539090275,1.0
448,32,2505903531,1.0
449,32,1628915257,1.0
450,32,4904831854,1.0
451,32,1486464966,1.0
452,32,3745491108,1.0
453,33,3117208455,1.0
454,33,3295810796,1.0
455,33,1980266485,1.0
456,33,2953626446,1.0
457,33,6596882134,1.0
458,33,5405548113,1.0
459,33,4901765450,1.0
460,33,4876371045,1.0
461,33,1360209506,1.0
462,33,4351041459,1.0
463,33,3861004446,1.0
464,34,3529083577,1.0
465,34,1265850902,1.0
466,34,4486799138,1.0
467,34,2634287440,1.0
468,34,5525375095,1.0
469,34,3030399969,1.0
470,34,3143227469,1.0
471,34,4367878596,1.0
472,34,3241631686,1.0
473,34,4055648358,1.0
474,34,1556480894,1.0
475,34,1623890648,1.0
476,34,1532994451,1.0
477,34,1848439842,1.0
478,34,3448905503,1.0
479,34,2914207324,1.0
480,34,3999221761,1.0
481,35,4655967023,1.0
482,35,2502288609,1.0
483,35,3496452448,1.0
484,35,5245155083,1.0
485,35,1818886466,1.0
486,35,5952350995,1.0
487,35,2315573855,1.0
488,35,1994779906,1.0
489,35,3458349206,1.0
490,35,3398905046,1.0
491,35,5356977646,1.0
492,35,2623585532,1.0
493,36,1524150554,1.0
494,36,5202784478,1.0
495,36,5762039644,1.0
496,36,1753254725,1.0
497,36,5797418600,1.0
498,36,5425009648,1.0
499,36,3844579764,1.0
500,36,1543445289,1.0
501,36,1569247454,1.0
502,36,3778845171,1.0
503,36,3076697975,1.0
504,36,2986735402,1.0
505,36,2089094464,1.0
506,36,2813903337,1.0
507,37,2855972724,1.0
508,37,4810510523,1.0
509,37,2166437147,1.0
510,37,3893110705,1.0
511,37,4091562538,1.0
512,37,3499008948,1.0
513,37,6595124588,1.0
514,37,2633150438,1.0
515,37,484187988,0.5
516,37,5166937305,1.0
517,37,4580877155,1.0
518,37,1765378901,1.0
519,37,2160077105,1.0
520,38,3168579276,1.0
521,38,1990522348,1.0
522,38,1555053480,1.0
523,38,3638651328,1.0
524,38,5419715463,1.0
525,38,2623533637,1.0
526,38,3046243661,1.0
527,38,5368620460,1.0
528,38,2416237708,1.0
529,38,1368958439,1.0
530,38,734127753,0.625
531,38,5411276694,1.0
532,38,7034075188,1.0
533,38,5950358045,1.0
534,38,6830591970,1.0
535,38,1666184797,1.0
536,38,4781538253,1.0
537,38,3933602768,1.0
538,39,4620263192,1.0
539,39,4408327173,1.0
540,39,3360232792,1.0
541,39,6812985515,1.0
542,39,3366005822,1.0
543,39,3412122008,1.0
544,39,2814482116,1.0
545,39,5583112387,1.0
546,39,5053831650,1.0
547,39,6174929208,1.0
548,39,4008939233,1.0
549,39,1202895773,1.0
550,39,6367919434,1.0
551,39,6655557706,1.0
552,39,2728060657,1.0
553,39,5730813300,1.0
554,40,6364121146,1.0
555,40,1903267400,1.0
556,40,2508000514,1.0
557,40,7937573255,1.0
558,40,5539708880,1.0
559,40,6918294125,1.0
560,40,6726607610,1.0
561,40,1564607892,1.0
562,40,2870663817,1.0
563,40,3586218519,1.0
564,40,2294069066,1.0
565,40,3988652018,1.0
566,41,5910930686,1.0
567,41,4465103553,1.0
568,41,2019437264,1.0
569,41,3510105279,1.0
570,41,6665715621,1.0
571,41,2438243982,1.0
572,41,848904728,0.8333333333333334
573,41,5503788227,1.0
574,41,4074670563,1.0
575,41,6572978346,1.0
576,41,1374255013,1.0
577,41,1765057204,1.0
578,41,5619461289,1.0
579,41,1389135532,1.0
580,42,3556868177,1.0
581,42,1139081361,1.0
582,42,2118695528,1.0
583,42,708954262,0.6666666666666666
584,42,1031542452,0.9166666666666666
585,42,2464168494,1.0
586,42,3370761593,1.0
587,42,7388504612,1.0
588,42,4573874204,1.0
589,42,3774080156,1.0
590,43,4860528414,1.0
591,43,3111776643,1.0
592,43,3459928169,1.0
593,43,6445056943,1.0
594,43,5635058362,1.0
595,43,3646326270,1.0
596,43,4684930158,1.0
597,43,5800775973,1.0
598,43,4354071155,1.0
599,43,5674876596,1.0
600,43,6894524696,1.0
601,43,6592715188,1.0
602,43,5268034422,1.0
603,43,4208999989,1.0
604,44,3863283141,1.0
605,44,4381999596,1.0
606,44,986328703,0.9166666666666666
607,44,5433032383,1.0
608,44,2136471842,1.0
609,44,5132596173,1.0
610,44,2675720534,1.0
611,44,5724097154,1.0
612,44,2506576857,1.0
613,44,5755885208,1.0
614,44,1981538521,1.0
615,44,1818864087,1.0
616,44,1866798930,1.0
617,44,5033036827,1.0
618,44,1565136384,1.0
619,44,3722535551,1.0
620,44,1936876339,1.0
621,44,2542581383,1.0
622,44,5512032540,1.0
623,45,3430380914,1.0
624,45,3646649927,1.0
625,45,1843139064,1.0
626,45,6208721541,1.0
627,45,1325597321,1.0
628,45,1868219157,1.0
629,45,1721769253,1.0
630,45,6722976408,1.0
631,45,7097783908,1.0
632,45,2533751172,1.0
633,45,1430191306,1.0
634,45,2291809913,1.0
635,45,4481515987,1.0
636,45,1723642700,1.0
637,45,4661094759,1.0
638,45,3193407646,1.0
639,45,1834207324,1.0
640,45,4074425299,1.0
641,45,3808961333,1.0
642,45,1813693214,1.0
643,46,5197568556,1.0
644,46,1793508749,1.0
645,46,5689008024,1.0
646,46,5111122017,1.0
647,46,2321164731,1.0
648,46,1844034253,1.0
649,46,5842302506,1.0
650,46,3143619606,1.0
651,46,1301221924,1.0
652,46,4322131413,1.0
653,47,2355251607,1.0
654,47,6508352850,1.0
655,47,2678702357,1.0
656,47,3958157166,1.0
657,47,4005285521,1.0
658,47,6944921745,1.0
659,47,3366593159,1.0
660,47,6765868178,1.0
661,47,4463281436,1.0
662,47,6618924814,1.0
663,47,1721032419,1.0
664,47,5066359239,1.0
665,48,3118671185,1.0
666,48,4760414033,1.0
667,48,4532907198,1.0
668,48,4374118176,1.0
669,48,4083904536,1.0
670,48,4987309214,1.0
671,48,3056576357,1.0
672,48,7041668523,1.0
673,48,3440084396,1.0
674,48,5062166324,1.0
675,48,2087090301,1.0
676,48,4605562830,1.0
677,48,4143359046,1.0
678,48,2045573789,1.0
679,48,5525670200,1.0
680,48,6158617829,1.0
681,49,3913084747,1.0
682,49,3058423425,1.0
683,49,1412782587,1.0
684,49,720528897,0.75
685,49,4840438647,1.0
686,49,2665208214,1.0
687,49,2740916617,1.0
688,49,675451057,0.7083333333333334
689,49,2468543789,1.0
690,49,4278718407,1.0
691,50,1299184922,1.0
692,50,5596320794,1.0
693,50,5281237020,1.0
694,50,6244121324,1.0
695,50,1670587601,1.0
696,50,5622673883,1.0
697,50,6169343580,1.0
698,50,4387360183,1.0
699,50,3887982304,1.0
700,50,5035591510,1.0
701,50,3264489860,1.0
702,50,859798218,0.8333333333333334
703,50,1628274014,1.0
704,50,1465705218,1.0
705,50,4310547544,1.0
706,50,5849222791,1.0
707,50,1113279313,1.0
708,50,4486274971,1.0
